Quality,Fibre,Count,Finish,Print,Coverage,Consum,Issued,Balance,Meters,Mesh,Rod,Speed,Hits,Color-hits,Viscosity,Machine
A120C093,CV,20,None,Reactive,1.69,48,60,12,6770,125.0,15.0,30.0,3,0,65.0,3.0
A120C093,CV,20,None,Reactive,5.29,88,100,12,6770,125.0,12.0,30.0,3,0,63.0,3.0
A120C093,CV,20,None,Reactive,2.44,69,80,11,6770,125.0,12.0,30.0,3,0,64.0,3.0
13200046,CV,32,None,Reactive,62.38,5500,5600,100,49910,125.0,15.0,30.0,5,0,72.0,3.0
13200046,CV,32,None,Reactive,12.61,1310,1340,30,49910,125.0,12.0,30.0,5,5,72.0,3.0
13200046,CV,32,None,Reactive,26.61,2075,2120,45,49910,125.0,12.0,30.0,5,2,74.0,3.0
A120C093,CV,20,None,Reactive,2.82,24,50,26,750,125.0,12.0,30.0,2,1,73.0,1.0
A120C093,CV,20,None,Reactive,0.19,24,50,26,750,125.0,12.0,30.0,2,0,72.0,1.0
A120C093,CV,20,None,Reactive,5.98,25,50,25,750,165.0,12.0,30.0,2,1,70.0,1.0
A120C093,CV,20,None,Reactive,83.57,98,116,18,750,125.0,12.0,30.0,2,2,65.0,1.0
A120C093,CV,20,None,Reactive,3.47,24,50,26,750,155.0,15.0,30.0,2,2,64.0,1.0
A120C093,CV,20,None,Reactive,5.04,30,50,20,750,155.0,15.0,30.0,2,0,64.0,1.0
A120C093,CV,20,None,Reactive,2.42,22,50,28,750,125.0,12.0,30.0,2,0,62.0,1.0
A132B148,CV,32,None,Reactive,0.23,48,80,32,2400,195.0,10.0,28.0,3,1,62.0,1.0
A132B148,CV,32,None,Reactive,12.15,50,80,30,2400,195.0,15.0,28.0,3,1,65.0,1.0
A132B148,CV,32,None,Reactive,3.97,56,83,27,2400,195.0,15.0,28.0,3,3,66.0,1.0
