Quality,Fibre,Count,Finish,Print,Coverage,Consum,Issued,Balance,Meters,Mesh,Rod,Speed,Hits,Color-hits,Viscosity,Machine
16000314,CT,60,None,Discharge,1.1,32,50,18,2660,155.0,8.0,40.0,0,0,,2.0
16000314,CT,60,None,Discharge,0.75,30,50,20,2660,155.0,10.0,40.0,0,0,,2.0
16000314,CT,60,None,Discharge,0.81,33,50,17,2660,165.0,12.0,40.0,0,0,,2.0
13000437,CV,30,Raise,Pigment,0.19,85,100,15,24260,125.0,15.0,45.0,3,0,,2.0
13000437,CV,30,Raise,Pigment,0.72,82,100,18,24260,125.0,15.0,45.0,3,0,,2.0
13000437,CV,30,Raise,Pigment,0.05,81,100,19,24260,125.0,15.0,45.0,3,0,,2.0
13000437,CV,30,Raise,Pigment,0.43,80,100,20,24260,125.0,15.0,45.0,3,2,,2.0
13000437,CV,30,Raise,Pigment,0.93,85,100,15,24260,125.0,15.0,45.0,3,1,,2.0
13000437,CV,30,Raise,Pigment,0.76,81,100,19,24260,125.0,15.0,45.0,3,2,,2.0
13000437,CV,30,Raise,Pigment,0.33,78,100,22,24260,125.0,20.0,45.0,3,0,,2.0
13000437,CV,30,Raise,Pigment,0.47,85,110,25,24260,125.0,15.0,45.0,3,1,,2.0
13000437,CV,30,Raise,Pigment,0.41,94,118,24,24260,125.0,12.0,45.0,3,3,,2.0
13257,ST,32,None,Pigment,10.34,48,60,12,1500,165.0,10.0,30.0,4,1,,2.0
13257,ST,32,None,Pigment,24.84,78,100,22,1500,125.0,10.0,30.0,4,1,,2.0
13257,ST,32,None,Pigment,14.5,42,60,18,1500,125.0,12.0,30.0,4,3,,2.0
13257,ST,32,None,Pigment,31.91,82,107,25,1500,125.0,12.0,30.0,4,2,,2.0
13257,ST,32,None,Pigment,8.7,39,66,27,1500,125.0,12.0,30.0,4,4,,2.0
A160B738,CT,60,None,Pigment,4.56,30,50,20,1200,195.0,8.0,45.0,0,0,,2.0
A160B738,CT,60,None,Pigment,5.2,30,50,20,1200,195.0,10.0,45.0,0,0,,2.0
A160B738,CT,60,None,Discharge,4.65,40,60,20,1414,195.0,10.0,40.0,0,0,,2.0
A160B738,CT,60,None,Discharge,5.2,20,50,30,1414,195.0,8.0,40.0,0,0,,2.0
A160B535,CT,60,None,Pigment,0.21,40,50,10,7460,165.0,8.0,50.0,2,2,,2.0
A160B535,CT,60,None,Pigment,0.26,36,55,19,7460,165.0,8.0,50.0,2,2,,2.0
140324,ST,40,None,Pigment,6.42,50,70,20,2112,195.0,6.0,35.0,1,1,,2.0
140324,ST,40,None,Pigment,52.18,170,220,50,2112,155.0,12.0,35.0,1,0,,2.0
140324,ST,40,None,Pigment,52.42,172,232,60,2112,155.0,8.0,35.0,1,0,,2.0
A160B604,ST,60,None,Pigment,50.05,300,360,60,5120,165.0,10.0,35.0,1,1,,2.0
A140D660,SPC,40,None,Pigment,2.67,32,50,18,2141,165.0,6.0,45.0,0,0,,2.0
A140D660,SPC,40,None,Pigment,2.67,31,50,19,2141,165.0,6.0,45.0,0,0,,2.0
140324,ST,40,None,Pigment,9.93,96,106,10,2335,165.0,8.0,40.0,2,2,,2.0
13000437,CV,30,Raise,Pigment,1.62,35,50,15,3795,125.0,15.0,30.0,0,0,,2.0
13000437,CV,30,Raise,Pigment,1.84,35,50,15,3795,125.0,20.0,30.0,0,0,,2.0
13000437,CV,30,Raise,Pigment,2.4,30,50,20,3795,125.0,20.0,30.0,0,0,,2.0
140324,ST,40,None,Pigment,9.93,68,78,10,2244,165.0,8.0,45.0,2,2,,2.0
A140C096,CT,40,None,Pigment,11.03,40,60,20,1380,125.0,10.0,35.0,1,1,,2.0
A140C096,CT,40,None,Pigment,13.54,45,60,15,1380,125.0,10.0,35.0,1,0,,2.0
A140C096,CT,40,None,Pigment,8.53,35,50,15,1380,125.0,10.0,35.0,1,0,,2.0
A140C096,CT,40,None,Pigment,5.83,30,50,20,1380,125.0,10.0,35.0,1,0,,2.0
140D660,SPC,40,None,Pigment,9.63,85,115,30,5260,195.0,6.0,80.0,0,0,,2.0
A130D536,CT,30,Raise,Pigment,0.52,37,55,18,1600,195.0,12.0,35.0,0,0,,2.0
A130D536,CT,30,Raise,Pigment,1.73,35,50,15,1600,195.0,12.0,35.0,0,0,,2.0
A130D536,CT,30,Raise,Pigment,1.05,40,53,13,1600,195.0,12.0,35.0,0,0,,2.0
A130D536,CT,30,Raise,Pigment,0.73,41,56,15,1600,195.0,12.0,35.0,0,0,,2.0
A130D536,CT,30,Raise,Pigment,1.21,31,50,19,1600,195.0,12.0,35.0,0,0,,2.0
A130D536,CT,30,Raise,Pigment,1.52,33,50,17,1600,195.0,12.0,35.0,0,0,,2.0
A150D080,CT,50,None,Pigment,3.76,45,60,15,1610,195.0,10.0,65.0,0,0,,2.0
A150D080,CT,50,None,Pigment,4.66,55,70,15,1650,195.0,10.0,50.0,0,0,70.0,2.0
A150C944,ST,50,None,Pigment,4.66,40,60,20,1290,195.0,8.0,35.0,1,1,68.0,2.0
18000035,PC,80,None,Discharge,4.99,45,75,30,4135,155.0,10.0,20.0,2,2,,2.0
18000035,PC,80,None,Discharge,1.09,15,40,25,4135,155.0,10.0,20.0,2,0,,2.0
A130B609,V,30,None,Reactive,63.11,430,480,50,5270,165.0,15.0,25.0,2,2,,2.0
A130B609,V,30,None,Reactive,45.22,350,360,10,5270,125.0,15.0,25.0,2,0,,2.0
18006,CT,80,None,Pigment,6.58,145,170,25,11322,165.0,8.0,50.0,3,0,,2.0
18006,CT,80,None,Pigment,4.45,129,160,31,11322,165.0,10.0,50.0,3,3,,2.0
18006,CT,80,None,Pigment,7.29,138,160,22,11322,165.0,8.0,50.0,3,0,,2.0
13257,ST,32,Peach,Pigment,29.14,110,120,10,2340,125.0,15.0,35.0,1,1,,2.0
13257,ST,32,Peach,Pigment,20.45,90,100,10,2340,125.0,15.0,35.0,1,1,,2.0
13257,ST,32,Peach,Pigment,16.8,75,90,15,2340,125.0,15.0,35.0,1,1,,2.0
A150C549,ST,50,None,Pigment,25.2,92,110,18,1515,155.0,10.0,35.0,1,1,82.0,2.0
A150C549,ST,50,None,Pigment,25.56,90,110,20,1515,155.0,12.0,35.0,1,0,86.0,2.0
A150C549,ST,50,None,Pigment,21.98,75,90,15,1515,155.0,10.0,35.0,1,0,84.0,2.0
A130B652,V,30,None,Reactive,24.14,470,500,30,10830,125.0,15.0,30.0,0,0,70.0,2.0
A130B652,V,30,None,Reactive,16.61,355,370,15,10830,125.0,15.0,30.0,0,0,68.0,2.0
A130B652,V,30,None,Reactive,38.02,460,480,20,10830,125.0,15.0,30.0,0,0,75.0,2.0
A130B652,V,30,None,Reactive,22.28,350,360,10,10830,125.0,12.0,30.0,0,0,70.0,2.0
13200046,CV,32,None,Reactive,66.8,2680,2820,140,21250,125.0,15.0,25.0,3,1,65.0,3.0
13200046,CV,32,None,Reactive,3.91,172,240,68,21250,155.0,15.0,25.0,3,1,78.0,3.0
13200046,CV,32,None,Reactive,3.14,142,180,38,21250,155.0,15.0,25.0,3,1,92.0,3.0
13200046,CV,32,None,Reactive,0.68,103,150,47,21250,155.0,15.0,25.0,3,0,68.0,3.0
13200046,CV,32,None,Reactive,3.92,238,360,122,21250,155.0,12.0,25.0,3,0,72.0,3.0
13200046,CV,32,None,Reactive,0.78,90,150,60,21250,155.0,12.0,25.0,3,0,80.0,3.0
13200046,CV,32,None,Reactive,5.86,237,300,63,21250,155.0,12.0,25.0,3,3,85.0,3.0
13200046,CV,32,None,Reactive,3.02,136,250,114,21250,155.0,12.0,25.0,3,0,80.0,3.0
13200046,CV,32,None,Reactive,7.86,248,300,52,21250,155.0,12.0,25.0,3,2,90.0,3.0
13200046,CV,32,None,Reactive,2.09,50,110,60,21250,155.0,12.0,25.0,3,0,82.0,3.0
13200046,CV,32,None,Reactive,13.14,378,420,42,21250,125.0,12.0,25.0,3,0,88.0,3.0
A120C093,CV,20,None,Reactive,77.56,785,800,15,5940,125.0,20.0,25.0,2,0,75.0,3.0
A120C093,CV,20,None,Reactive,7.52,124,143,19,5940,155.0,12.0,25.0,2,2,80.0,3.0
A120C093,CV,20,None,Reactive,16.17,50,120,70,5940,125.0,12.0,25.0,2,2,80.0,3.0
